Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
E0846,ទូដែក 6 x 8,,C-002,19,1,1,1, No Tax, exclusive,SC-2-048,,,,,,,,,,,,,no_image.png,standard
E0847,ទូដែក 8 x 10,,C-002,19,1,1,1, No Tax, exclusive,SC-2-048,,,,,,,,,,,,,no_image.png,standard
E0861,តាមជាក់ស្តែង,,C-002,14,1,1,1, No Tax, exclusive,SC-2-049,,,,,,,,,,,,,no_image.png,standard
E0862,តាមជាក់ស្តែង,,C-002,14,1,1,1, No Tax, exclusive,SC-2-049,,,,,,,,,,,,,no_image.png,standard
E0863,តាមជាក់ស្តែង,,C-002,14,1,1,1, No Tax, exclusive,SC-2-049,,,,,,,,,,,,,no_image.png,standard
E0891,កុងទ័រ 220v - 6 A,,C-002,12,1,1,1, No Tax, exclusive,SC-2-050,,,,,,,,,,,,,no_image.png,standard
E0892,កុងទ័រ 220v - 10 A,,C-002,12,1,1,1, No Tax, exclusive,SC-2-050,,,,,,,,,,,,,no_image.png,standard
E0893,កុងទ័រ 220v - 20 A,,C-002,12,1,1,1, No Tax, exclusive,SC-2-050,,,,,,,,,,,,,no_image.png,standard
E0894,កុងទ័រ 220v - 25 A,,C-002,12,1,1,1, No Tax, exclusive,SC-2-050,,,,,,,,,,,,,no_image.png,standard
E0895,កុងទ័រ 220v - 32 A,,C-002,12,1,1,1, No Tax, exclusive,SC-2-050,,,,,,,,,,,,,no_image.png,standard
E0896,កុងទ័រ 220v - 40 A,,C-002,12,1,1,1, No Tax, exclusive,SC-2-050,,,,,,,,,,,,,no_image.png,standard
E0897,កុងទ័រ 220v - 50 A,,C-002,12,1,1,1, No Tax, exclusive,SC-2-050,,,,,,,,,,,,,no_image.png,standard
E0898,កុងទ័រ 220v - 63 A,,C-002,12,1,1,1, No Tax, exclusive,SC-2-050,,,,,,,,,,,,,no_image.png,standard
E0899,កុងទ័រ 220v - 85 A,,C-002,12,1,1,1, No Tax, exclusive,SC-2-050,,,,,,,,,,,,,no_image.png,standard
E0900,កុងទ័រ 2P -5- 20 A,,C-002,12,1,1,1, No Tax, exclusive,SC-2-050,,,,,,,,,,,,,no_image.png,standard
E0901,កុងទ័រ 2P -5- 30 A,,C-002,12,1,1,1, No Tax, exclusive,SC-2-050,,,,,,,,,,,,,no_image.png,standard
E0902,កុងទ័រ 3P -5- 20 A,,C-002,12,1,1,1, No Tax, exclusive,SC-2-050,,,,,,,,,,,,,no_image.png,standard
E0903,កុងទ័រ 3P -10- 20 A,,C-002,12,1,1,1, No Tax, exclusive,SC-2-050,,,,,,,,,,,,,no_image.png,standard
E0904,កុងទ័រ 3P -15- 45 A,,C-002,12,1,1,1, No Tax, exclusive,SC-2-050,,,,,,,,,,,,,no_image.png,standard
E0905,កុងទ័រ 3P -20- 80 A,,C-002,12,1,1,1, No Tax, exclusive,SC-2-050,,,,,,,,,,,,,no_image.png,standard
E0906,កុងទ័រ 3P -10- 100 A,,C-002,12,1,1,1, No Tax, exclusive,SC-2-050,,,,,,,,,,,,,no_image.png,standard
