Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
E0001,ខ្សែភ្លើង ក្រហម 1 x 1.5mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-001,,,,,,,,,,,,,no_image.png,standard
E0002,ខ្សែភ្លើង ក្រហម 1 x 2.5mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-001,,,,,,,,,,,,,no_image.png,standard
E0003,ខ្សែភ្លើង ក្រហម 1 x 4mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-001,,,,,,,,,,,,,no_image.png,standard
E0004,ខ្សែភ្លើង ក្រហម 1 x 6mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-001,,,,,,,,,,,,,no_image.png,standard
E0005,ខ្សែភ្លើង ក្រហម 1 x 10mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-001,,,,,,,,,,,,,no_image.png,standard
E0006,ខ្សែភ្លើង ក្រហម 1 x 16mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-001,,,,,,,,,,,,,no_image.png,standard
E0007,ខ្សែភ្លើង ក្រហម 1 x 25mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-001,,,,,,,,,,,,,no_image.png,standard
E0008,ខ្សែភ្លើង ក្រហម 1 x 35mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-001,,,,,,,,,,,,,no_image.png,standard
E0009,ខ្សែភ្លើង ក្រហម 1 x 50mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-001,,,,,,,,,,,,,no_image.png,standard
E0021,ខ្សែភ្លើង ខ្មៅ 1 x 1.5mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-002,,,,,,,,,,,,,no_image.png,standard
E0022,ខ្សែភ្លើង ខ្មៅ 1 x 2.5mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-002,,,,,,,,,,,,,no_image.png,standard
E0023,ខ្សែភ្លើង ខ្មៅ 1 x 4mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-002,,,,,,,,,,,,,no_image.png,standard
E0024,ខ្សែភ្លើង ខ្មៅ 1 x 6mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-002,,,,,,,,,,,,,no_image.png,standard
E0025,ខ្សែភ្លើង ខ្មៅ 1 x 10mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-002,,,,,,,,,,,,,no_image.png,standard
E0026,ខ្សែភ្លើង ខ្មៅ 1 x 16mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-002,,,,,,,,,,,,,no_image.png,standard
E0027,ខ្សែភ្លើង ខ្មៅ 1 x 25mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-002,,,,,,,,,,,,,no_image.png,standard
E0028,ខ្សែភ្លើង ខ្មៅ 1 x 35mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-002,,,,,,,,,,,,,no_image.png,standard
E0029,ខ្សែភ្លើង ខ្មៅ 1 x 50mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-002,,,,,,,,,,,,,no_image.png,standard
E0041,ខ្សែភ្លើង ខៀវ 1 x 1.5mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-003,,,,,,,,,,,,,no_image.png,standard
E0042,ខ្សែភ្លើង ខៀវ 1 x 2.5mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-003,,,,,,,,,,,,,no_image.png,standard
E0043,ខ្សែភ្លើង ខៀវ 1 x 4mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-003,,,,,,,,,,,,,no_image.png,standard
E0044,ខ្សែភ្លើង ខៀវ 1 x 6mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-003,,,,,,,,,,,,,no_image.png,standard
E0045,ខ្សែភ្លើង ខៀវ 1 x 10mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-003,,,,,,,,,,,,,no_image.png,standard
E0046,ខ្សែភ្លើង ខៀវ 1 x 16mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-003,,,,,,,,,,,,,no_image.png,standard
E0047,ខ្សែភ្លើង ខៀវ 1 x 25mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-003,,,,,,,,,,,,,no_image.png,standard
E0048,ខ្សែភ្លើង ខៀវ 1 x 35mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-003,,,,,,,,,,,,,no_image.png,standard
E0049,ខ្សែភ្លើង ខៀវ 1 x 50mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-003,,,,,,,,,,,,,no_image.png,standard
E0061,ខ្សែភ្លើង បៃតង 1 x 1.5mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-004,,,,,,,,,,,,,no_image.png,standard
E0062,ខ្សែភ្លើង បៃតង 1 x 2.5mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-004,,,,,,,,,,,,,no_image.png,standard
E0063,ខ្សែភ្លើង បៃតង 1 x 4mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-004,,,,,,,,,,,,,no_image.png,standard
E0064,ខ្សែភ្លើង បៃតង 1 x 6mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-004,,,,,,,,,,,,,no_image.png,standard
E0065,ខ្សែភ្លើង បៃតង 1 x 10mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-004,,,,,,,,,,,,,no_image.png,standard
E0066,ខ្សែភ្លើង បៃតង 1 x 16mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-004,,,,,,,,,,,,,no_image.png,standard
E0067,ខ្សែភ្លើង បៃតង 1 x 25mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-004,,,,,,,,,,,,,no_image.png,standard
E0068,ខ្សែភ្លើង បៃតង 1 x 35mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-004,,,,,,,,,,,,,no_image.png,standard
E0069,ខ្សែភ្លើង បៃតង 1 x 50mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-004,,,,,,,,,,,,,no_image.png,standard
E0081,ខ្សែភ្លើង លឿង 1 x 1.5mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-005,,,,,,,,,,,,,no_image.png,standard
E0082,ខ្សែភ្លើង លឿង 1 x 2.5mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-005,,,,,,,,,,,,,no_image.png,standard
E0083,ខ្សែភ្លើង លឿង 1 x 6mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-005,,,,,,,,,,,,,no_image.png,standard
E0084,ខ្សែភ្លើង លឿង 1 x 10mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-005,,,,,,,,,,,,,no_image.png,standard
E0085,ខ្សែភ្លើង លឿង 1 x 16mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-005,,,,,,,,,,,,,no_image.png,standard
E0086,ខ្សែភ្លើង លឿង 1 x 25mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-005,,,,,,,,,,,,,no_image.png,standard
E0087,ខ្សែភ្លើង លឿង 1 x 35mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-005,,,,,,,,,,,,,no_image.png,standard
E0088,ខ្សែភ្លើង លឿង 1 x 50mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-005,,,,,,,,,,,,,no_image.png,standard
E0101,ខ្សែភ្លើងទន់ 1 x 1.5mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-006,,,,,,,,,,,,,no_image.png,standard
E0102,ខ្សែភ្លើងទន់ 1 x 10mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-006,,,,,,,,,,,,,no_image.png,standard
E0103,ខ្សែភ្លើងទន់ 1 x 16mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-006,,,,,,,,,,,,,no_image.png,standard
E0121,ខ្សែភ្លើងស្ពាន់ 1.5 x 10mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-007,,,,,,,,,,,,,no_image.png,standard
E0122,ខ្សែភ្លើងស្ពាន់ 1.5 x 16mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-007,,,,,,,,,,,,,no_image.png,standard
E0123,ខ្សែភ្លើងស្ពាន់ 1.5 x 30mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-007,,,,,,,,,,,,,no_image.png,standard
E0124,ខ្សែភ្លើងស្ពាន់ 1c x 95mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-007,,,,,,,,,,,,,no_image.png,standard
E0125,ខ្សែភ្លើងស្ពាន់ 1c x 120mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-007,,,,,,,,,,,,,no_image.png,standard
E0126,ខ្សែភ្លើងស្ពាន់ 1C x 240mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-007,,,,,,,,,,,,,no_image.png,standard
E0127,ខ្សែភ្លើងស្ពាន់ 1C x 300mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-007,,,,,,,,,,,,,no_image.png,standard
E0141,ខ្សែភ្លើងទែរ 1 x 25mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-008,,,,,,,,,,,,,no_image.png,standard
E0142,ខ្សែភ្លើងទែរ 1 x 35mm3,,C-002,28,1,1,1, No Tax, exclusive,SC-2-008,,,,,,,,,,,,,no_image.png,standard
E0143,ខ្សែភ្លើងទែរ 1 x 50mm1,,C-002,28,1,1,1, No Tax, exclusive,SC-2-008,,,,,,,,,,,,,no_image.png,standard
E0144,ខ្សែភ្លើងទែរ 1 x 70mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-008,,,,,,,,,,,,,no_image.png,standard
E0145,ខ្សែភ្លើងទែរ 1 x 95mm2,,C-002,28,1,1,1, No Tax, exclusive,SC-2-008,,,,,,,,,,,,,no_image.png,standard
