Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
S0001,ដែកថ្នាំងអំពៅ ​10 លី SD 390 x 12ម,,C-004,18,,,, No Tax, exclusive,SC-4-001,,,,,,,,,,,,,no_image.png,standard
S0002,ដែកថ្នាំងអំពៅ ​12 លី SD 390,,C-004,18,,,, No Tax, exclusive,SC-4-001,,,,,,,,,,,,,no_image.png,standard
S0003,ដែកថ្នាំងអំពៅ ​14 លី SD390,,C-004,18,,,, No Tax, exclusive,SC-4-001,,,,,,,,,,,,,no_image.png,standard
S0004,ដែកថ្នាំងអំពៅ ​16 លី SD390,,C-004,18,,,, No Tax, exclusive,SC-4-001,,,,,,,,,,,,,no_image.png,standard
S0005,ដែកថ្នាំងអំពៅ ​18 លី SD390,,C-004,18,,,, No Tax, exclusive,SC-4-001,,,,,,,,,,,,,no_image.png,standard
S0006,ដែកថ្នាំងអំពៅ ​20 លី SD390,,C-004,18,,,, No Tax, exclusive,SC-4-001,,,,,,,,,,,,,no_image.png,standard
S0007,ដែកថ្នាំងអំពៅ ​22 លី SD390,,C-004,18,,,, No Tax, exclusive,SC-4-001,,,,,,,,,,,,,no_image.png,standard
S0008,ដែកថ្នាំងអំពៅ ​25 លី SD390,,C-004,18,,,, No Tax, exclusive,SC-4-001,,,,,,,,,,,,,no_image.png,standard
S0009,ដែកថ្នាំងអំពៅ ​28 លី SD390,,C-004,18,,,, No Tax, exclusive,SC-4-001,,,,,,,,,,,,,no_image.png,standard
S0010,ដែកថ្នាំងអំពៅ ​32 លី SD 390,,C-004,18,,,, No Tax, exclusive,SC-4-001,,,,,,,,,,,,,no_image.png,standard
S0021,ដែកថ្នាំងអំពៅ ​10 លី SD 460 x 12ម,,C-004,18,,,, No Tax, exclusive,SC-4-002,,,,,,,,,,,,,no_image.png,standard
S0022,ដែកថ្នាំងអំពៅ ​12 លី SD 460,,C-004,18,,,, No Tax, exclusive,SC-4-002,,,,,,,,,,,,,no_image.png,standard
S0023,ដែកថ្នាំងអំពៅ ​14 លី SD 460,,C-004,18,,,, No Tax, exclusive,SC-4-002,,,,,,,,,,,,,no_image.png,standard
S0024,ដែកថ្នាំងអំពៅ ​16 លី SD 460,,C-004,18,,,, No Tax, exclusive,SC-4-002,,,,,,,,,,,,,no_image.png,standard
S0025,ដែកថ្នាំងអំពៅ ​18 លី SD 460,,C-004,18,,,, No Tax, exclusive,SC-4-002,,,,,,,,,,,,,no_image.png,standard
S0026,ដែកថ្នាំងអំពៅ ​20 លី SD 460,,C-004,18,,,, No Tax, exclusive,SC-4-002,,,,,,,,,,,,,no_image.png,standard
S0027,ដែកថ្នាំងអំពៅ ​22 លី SD 460,,C-004,18,,,, No Tax, exclusive,SC-4-002,,,,,,,,,,,,,no_image.png,standard
S0028,ដែកថ្នាំងអំពៅ ​25 លី SD 460,,C-004,18,,,, No Tax, exclusive,SC-4-002,,,,,,,,,,,,,no_image.png,standard
S0029,ដែកថ្នាំងអំពៅ ​28 លី SD 460,,C-004,18,,,, No Tax, exclusive,SC-4-002,,,,,,,,,,,,,no_image.png,standard
S0030,ដែកថ្នាំងអំពៅ ​32 លី SD 460,,C-004,18,,,, No Tax, exclusive,SC-4-002,,,,,,,,,,,,,no_image.png,standard
S0041,ដែកថ្នាំងអំពៅ ​10 លី SD 490 x 12ម,,C-004,18,,,, No Tax, exclusive,SC-4-003,,,,,,,,,,,,,no_image.png,standard
S0042,ដែកថ្នាំងអំពៅ ​12 លី SD 490,,C-004,18,,,, No Tax, exclusive,SC-4-003,,,,,,,,,,,,,no_image.png,standard
S0043,ដែកថ្នាំងអំពៅ ​14 លី SD 490,,C-004,18,,,, No Tax, exclusive,SC-4-003,,,,,,,,,,,,,no_image.png,standard
S0044,ដែកថ្នាំងអំពៅ ​16 លី SD 490,,C-004,18,,,, No Tax, exclusive,SC-4-003,,,,,,,,,,,,,no_image.png,standard
S0045,ដែកថ្នាំងអំពៅ ​18 លី SD 490,,C-004,18,,,, No Tax, exclusive,SC-4-003,,,,,,,,,,,,,no_image.png,standard
S0046,ដែកថ្នាំងអំពៅ ​20 លី SD 490,,C-004,18,,,, No Tax, exclusive,SC-4-003,,,,,,,,,,,,,no_image.png,standard
S0047,ដែកថ្នាំងអំពៅ ​22 លី SD 490,,C-004,18,,,, No Tax, exclusive,SC-4-003,,,,,,,,,,,,,no_image.png,standard
S0048,ដែកថ្នាំងអំពៅ ​25 លី SD 490,,C-004,18,,,, No Tax, exclusive,SC-4-003,,,,,,,,,,,,,no_image.png,standard
S0049,ដែកថ្នាំងអំពៅ ​28 លី SD 490,,C-004,18,,,, No Tax, exclusive,SC-4-003,,,,,,,,,,,,,no_image.png,standard
S0050,ដែកថ្នាំងអំពៅ ​32 លី SD 490,,C-004,18,,,, No Tax, exclusive,SC-4-003,,,,,,,,,,,,,no_image.png,standard
S0061,ដែកសសៃលាត ​10 លី x 6ម,,C-004,18,,,, No Tax, exclusive,SC-4-004,,,,,,,,,,,,,no_image.png,standard
S0062,ដែកសសៃលាត ​12 លី ,,C-004,18,,,, No Tax, exclusive,SC-4-004,,,,,,,,,,,,,no_image.png,standard
S0063,ដែកសសៃលាត ​14 លី ,,C-004,18,,,, No Tax, exclusive,SC-4-004,,,,,,,,,,,,,no_image.png,standard
S0064,ដែកសសៃលាត ​16 លី ,,C-004,18,,,, No Tax, exclusive,SC-4-004,,,,,,,,,,,,,no_image.png,standard
S0065,ដែកសសៃលាត ​18 លី ,,C-004,18,,,, No Tax, exclusive,SC-4-004,,,,,,,,,,,,,no_image.png,standard
S0066,ដែកសសៃលាត ​20 លី ,,C-004,18,,,, No Tax, exclusive,SC-4-004,,,,,,,,,,,,,no_image.png,standard
S0067,ដែកសសៃលាត ​22 លី ,,C-004,18,,,, No Tax, exclusive,SC-4-004,,,,,,,,,,,,,no_image.png,standard
S0081,ដែក កង 5​​ លី,,C-004,9,,,, No Tax, exclusive,SC-4-005,,,,,,,,,,,,,no_image.png,standard
S0082,ដែក កង 6 លី,,C-004,9,,,, No Tax, exclusive,SC-4-005,,,,,,,,,,,,,no_image.png,standard
S0083,ដែក កង 6.5 លី,,C-004,9,,,, No Tax, exclusive,SC-4-005,,,,,,,,,,,,,no_image.png,standard
S0084,ដែក កង 8​​ លី,,C-004,9,,,, No Tax, exclusive,SC-4-005,,,,,,,,,,,,,no_image.png,standard
S0085,ដែក កង 10 លី,,C-004,9,,,, No Tax, exclusive,SC-4-005,,,,,,,,,,,,,no_image.png,standard
S0086,PC Wire 3 លី,,C-004,9,,,, No Tax, exclusive,SC-4-005,,,,,,,,,,,,,no_image.png,standard
S0087,PC Wire 4 លី,,C-004,9,,,, No Tax, exclusive,SC-4-005,,,,,,,,,,,,,no_image.png,standard
S0088,PC Wire 5 លី,,C-004,9,,,, No Tax, exclusive,SC-4-005,,,,,,,,,,,,,no_image.png,standard
S0101,លួសចំណង ,,C-004,16,,,, No Tax, exclusive,SC-4-006,,,,,,,,,,,,,no_image.png,standard
S0102,ក្រចាប់ក្បាលខ្លា វិល,,C-004,11,,,, No Tax, exclusive,SC-4-007,,,,,,,,,,,,,no_image.png,standard
S0103,ក្រចាប់ក្បាលខ្លា អត់វិល,,C-004,11,,,, No Tax, exclusive,SC-4-007,,,,,,,,,,,,,no_image.png,standard
S0104,ក្រចាប់ដំណរ,,C-004,11,,,, No Tax, exclusive,SC-4-007,,,,,,,,,,,,,no_image.png,standard
S0121,ជើងសារ៉េ អ៊ុយ 3 តឹក,,C-004,18,,,, No Tax, exclusive,SC-4-008,,,,,,,,,,,,,no_image.png,standard
S0122,ជើងសារ៉េ អ៊ុយ 6 តឹក,,C-004,18,,,, No Tax, exclusive,SC-4-008,,,,,,,,,,,,,no_image.png,standard
S0123,ជើងសារ៉េ តេ  3 តឹក,,C-004,18,,,, No Tax, exclusive,SC-4-008,,,,,,,,,,,,,no_image.png,standard
S0124,ជើងសារ៉េ តេ 6 តឹក,,C-004,18,,,, No Tax, exclusive,SC-4-008,,,,,,,,,,,,,no_image.png,standard
S0125,ក្រវិលជើងសារ៉េ,,C-004,11,,,, No Tax, exclusive,SC-4-008,,,,,,,,,,,,,no_image.png,standard
S0141,សុងតដែក 12 លី,,C-004,11,,,, No Tax, exclusive,SC-4-009,,,,,,,,,,,,,no_image.png,standard
S0142,សុងតដែក 14 លី,,C-004,11,,,, No Tax, exclusive,SC-4-009,,,,,,,,,,,,,no_image.png,standard
S0143,សុងតដែក 16 លី,,C-004,11,,,, No Tax, exclusive,SC-4-009,,,,,,,,,,,,,no_image.png,standard
S0144,សុងតដែក 18 លី,,C-004,11,,,, No Tax, exclusive,SC-4-009,,,,,,,,,,,,,no_image.png,standard
S0145,សុងតដែក 20 លី,,C-004,11,,,, No Tax, exclusive,SC-4-009,,,,,,,,,,,,,no_image.png,standard
S0146,សុងតដែក 22 លី,,C-004,11,,,, No Tax, exclusive,SC-4-009,,,,,,,,,,,,,no_image.png,standard
S0147,សុងតដែក 25 លី,,C-004,11,,,, No Tax, exclusive,SC-4-009,,,,,,,,,,,,,no_image.png,standard
S0148,សុងតដែក 28 លី,,C-004,11,,,, No Tax, exclusive,SC-4-009,,,,,,,,,,,,,no_image.png,standard
S0149,សុងតដែក 32 លី,,C-004,11,,,, No Tax, exclusive,SC-4-009,,,,,,,,,,,,,no_image.png,standard
S0161,រន្ទារ 7 តឹក,,C-004,10,,,, No Tax, exclusive,SC-4-010,,,,,,,,,,,,,no_image.png,standard
S0162,រន្ទារ 9 តឹក,,C-004,10,,,, No Tax, exclusive,SC-4-010,,,,,,,,,,,,,no_image.png,standard
S0163,រន្ទារ 1 ម៉ែត្រ,,C-004,10,,,, No Tax, exclusive,SC-4-010,,,,,,,,,,,,,no_image.png,standard
S0164,រន្ទារ 1.2 ម៉ែត្រ,,C-004,10,,,, No Tax, exclusive,SC-4-010,,,,,,,,,,,,,no_image.png,standard
S0165,រន្ទារ 1.5 ម៉ែត្រ,,C-004,10,,,, No Tax, exclusive,SC-4-010,,,,,,,,,,,,,no_image.png,standard
S0166,រន្ទារ 1.7 ម៉ែត្រ,,C-004,10,,,, No Tax, exclusive,SC-4-010,,,,,,,,,,,,,no_image.png,standard
