Code,Name,Parent Category Code,Image name
SC-1-111,គ្រាប់មិន,C-001,no_image.png
SC-1-112,តាកេដែក-បេតុង,C-001,no_image.png
SC-1-113,តាកេដែក-ញី,C-001,no_image.png
SC-1-114,ប៊ូឡុង,C-001,no_image.png
SC-1-115,ប៊ូឡុងក្រែន,C-001,no_image.png
SC-1-116,ប៊ូឡុងអ៊ុយ,C-001,no_image.png
SC-1-117,ប៊ូឡុងកែង,C-001,no_image.png
SC-1-118,ដែករ៉ាត់,C-001,no_image.png
SC-1-119,កាវ,C-001,no_image.png
SC-1-120,ការពារជំរាបទឹក,C-001,no_image.png
SC-1-121,ដងបាញ់,C-001,no_image.png
SC-1-122,កន្ត្រៃ,C-001,no_image.png
SC-1-123,ស្គុត សថ្លា,C-001,no_image.png
SC-1-124,ស្គុត ពណ៏ស្ក,C-001,no_image.png
SC-1-125,ស្គុត ក្រណាត់,C-001,no_image.png
SC-1-126,ស្គុត មុខពីរ,C-001,no_image.png
SC-1-127,ក្រណាត់បិទពិដាន,C-001,no_image.png
SC-1-128,ក្រដាស់ខាត់,C-001,no_image.png
SC-1-129,ជញ្ជីង,C-001,no_image.png
SC-1-130,ទុល្វីស,C-001,no_image.png
SC-1-131,ដង្កាប់,C-001,no_image.png
SC-1-132,ដែកដាប់,C-001,no_image.png
SC-1-133,ម៉ាឡេត,C-001,no_image.png
SC-1-134,សោរខ្មៅ,C-001,no_image.png
SC-1-135,សោរខ្សៀ,C-001,no_image.png
SC-1-136,សោម៉ាត់ចិញ្ជៀន,C-001,no_image.png
SC-1-137,សោគ្រាប់,C-001,no_image.png
SC-1-138,សោតេ,C-001,no_image.png
SC-1-139,សោខ្វែង,C-001,no_image.png
SC-1-140,សោតាន់,C-001,no_image.png
SC-1-141,ប៊ិច,C-001,no_image.png
SC-1-142,ហ្វឺត,C-001,no_image.png
SC-1-143,ក្រដាស,C-001,no_image.png
SC-1-144,ទឹកថ្នាំម៉ាស៊ីនព្រីន,C-001,no_image.png
SC-1-145,មេកឹប,C-001,no_image.png
SC-1-146,សឺមី,C-001,no_image.png
SC-1-147,ស្រោមសំបុត្រ,C-001,no_image.png
SC-1-148,ក្រដាសចំណាំ,C-001,no_image.png
SC-1-149,ត្រេ,C-001,no_image.png
SC-1-150,ក្រូណូ,C-001,no_image.png
SC-1-151,សៀវភៅស្នើសំភារ:,C-001,no_image.png
SC-1-152,ម៉ស៊ីនវាយបុង,C-001,no_image.png
SC-1-153,ត្រាទទួល,C-001,no_image.png
SC-1-154,វិទ្យុទាក់ទង,C-001,no_image.png
