Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
W0001,ទុយោ PVC 21 កំរាស់ 13.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-001,,,,,,,,,,,,,no_image.png,standard
W0002,ទុយោ PVC 27 កំរាស់ 13.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-001,,,,,,,,,,,,,no_image.png,standard
W0003,ទុយោ PVC 34 កំរាស់ 13.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-001,,,,,,,,,,,,,no_image.png,standard
W0004,ទុយោ PVC 42 កំរាស់ 13.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-001,,,,,,,,,,,,,no_image.png,standard
W0005,ទុយោ PVC 49 កំរាស់ 13.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-001,,,,,,,,,,,,,no_image.png,standard
W0006,ទុយោ PVC 60 កំរាស់ 13.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-001,,,,,,,,,,,,,no_image.png,standard
W0007,ទុយោ PVC 90 កំរាស់ 13.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-001,,,,,,,,,,,,,no_image.png,standard
W0008,ទុយោ PVC 114 កំរាស់ 13.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-001,,,,,,,,,,,,,no_image.png,standard
W0009,ទុយោ PVC 125 កំរាស់ 13.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-001,,,,,,,,,,,,,no_image.png,standard
W0010,ទុយោ PVC 165 កំរាស់ 13.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-001,,,,,,,,,,,,,no_image.png,standard
W0011,ទុយោ PVC 200 កំរាស់ 13.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-001,,,,,,,,,,,,,no_image.png,standard
W0021,ទុយោ PVC 21 កំរាស់ 8.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-002,,,,,,,,,,,,,no_image.png,standard
W0022,ទុយោ PVC 27 កំរាស់ 8.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-002,,,,,,,,,,,,,no_image.png,standard
W0023,ទុយោ PVC 34 កំរាស់ 8.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-002,,,,,,,,,,,,,no_image.png,standard
W0024,ទុយោ PVC 42 កំរាស់ 8.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-002,,,,,,,,,,,,,no_image.png,standard
W0025,ទុយោ PVC 49 កំរាស់ 8.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-002,,,,,,,,,,,,,no_image.png,standard
W0026,ទុយោ PVC 60 កំរាស់ 8.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-002,,,,,,,,,,,,,no_image.png,standard
W0027,ទុយោ PVC 90 កំរាស់ 8.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-002,,,,,,,,,,,,,no_image.png,standard
W0028,ទុយោ PVC 114 កំរាស់ 8.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-002,,,,,,,,,,,,,no_image.png,standard
W0029,ទុយោ PVC 125 កំរាស់ 8.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-002,,,,,,,,,,,,,no_image.png,standard
W0030,ទុយោ PVC 165 កំរាស់ 8.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-002,,,,,,,,,,,,,no_image.png,standard
W0031,ទុយោ PVC 200 កំរាស់ 8.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-002,,,,,,,,,,,,,no_image.png,standard
W0032,ទុយោ PVC 225 កំរាស់ 8.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-002,,,,,,,,,,,,,no_image.png,standard
W0033,ទុយោ PVC 250 កំរាស់ 8.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-002,,,,,,,,,,,,,no_image.png,standard
W0034,ទុយោ PVC 300 កំរាស់ 8.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-002,,,,,,,,,,,,,no_image.png,standard
W0041,ទុយោ PVC 21 កំរាស់ 5.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-003,,,,,,,,,,,,,no_image.png,standard
W0042,ទុយោ PVC 27 កំរាស់ 5.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-003,,,,,,,,,,,,,no_image.png,standard
W0043,ទុយោ PVC 34 កំរាស់ 5.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-003,,,,,,,,,,,,,no_image.png,standard
W0044,ទុយោ PVC 42 កំរាស់ 5.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-003,,,,,,,,,,,,,no_image.png,standard
W0045,ទុយោ PVC 49 កំរាស់ 5.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-003,,,,,,,,,,,,,no_image.png,standard
W0046,ទុយោ PVC 60 កំរាស់ 5.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-003,,,,,,,,,,,,,no_image.png,standard
W0047,ទុយោ PVC 90 កំរាស់ 5.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-003,,,,,,,,,,,,,no_image.png,standard
W0048,ទុយោ PVC 114 កំរាស់ 5.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-003,,,,,,,,,,,,,no_image.png,standard
W0049,ទុយោ PVC 125 កំរាស់ 5.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-003,,,,,,,,,,,,,no_image.png,standard
W0050,ទុយោ PVC 165 កំរាស់ 5.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-003,,,,,,,,,,,,,no_image.png,standard
W0051,ទុយោ PVC 200 កំរាស់ 5.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-003,,,,,,,,,,,,,no_image.png,standard
W0052,ទុយោ PVC 250 កំរាស់ 5.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-003,,,,,,,,,,,,,no_image.png,standard
W0053,ទុយោ PVC 300 កំរាស់ 5.5,,C-003,18,1,1,0, No Tax, exclusive,SC-3-003,,,,,,,,,,,,,no_image.png,standard
W0061,កែង PVC 21 កំរាស់ 13.5,,C-003,11,1,1,0, No Tax, exclusive,SC-3-004,,,,,,,,,,,,,no_image.png,standard
W0062,កែង PVC 27 កំរាស់ 13.5,,C-003,11,1,1,0, No Tax, exclusive,SC-3-004,,,,,,,,,,,,,no_image.png,standard
W0063,កែង PVC 34 កំរាស់ 13.5,,C-003,11,1,1,0, No Tax, exclusive,SC-3-004,,,,,,,,,,,,,no_image.png,standard
W0064,កែង PVC 42 កំរាស់ 13.5,,C-003,11,1,1,0, No Tax, exclusive,SC-3-004,,,,,,,,,,,,,no_image.png,standard
W0065,កែង PVC 49 កំរាស់ 13.5,,C-003,11,1,1,0, No Tax, exclusive,SC-3-004,,,,,,,,,,,,,no_image.png,standard
W0066,កែង PVC 60 កំរាស់ 13.5,,C-003,11,1,1,0, No Tax, exclusive,SC-3-004,,,,,,,,,,,,,no_image.png,standard
W0067,កែង PVC 90 កំរាស់ 13.5,,C-003,11,1,1,0, No Tax, exclusive,SC-3-004,,,,,,,,,,,,,no_image.png,standard
W0068,កែង PVC 114 កំរាស់ 13.5,,C-003,11,1,1,0, No Tax, exclusive,SC-3-004,,,,,,,,,,,,,no_image.png,standard
W0069,កែង PVC 125 កំរាស់ 13.5,,C-003,11,1,1,0, No Tax, exclusive,SC-3-004,,,,,,,,,,,,,no_image.png,standard
W0070,កែង PVC 165 កំរាស់ 13.5,,C-003,11,1,1,0, No Tax, exclusive,SC-3-004,,,,,,,,,,,,,no_image.png,standard
