Code,Name,Parent Category Code,Image name
SC-1-001,ផ្លែកាត់ដែក,C-001,no_image.png
SC-1-002,ផ្លែកាំបិទកាត់ដែក,C-001,no_image.png
SC-1-003,ផ្លែតារ៉ូដែក,C-001,no_image.png
SC-1-004,ផ្លែឆាបដែក,C-001,no_image.png
SC-1-005,ផ្លែច្រាស់ឆាបដែក,C-001,no_image.png
SC-1-006,ផ្លែស្វានដែក,C-001,no_image.png
SC-1-007,ផ្លែស្វានដែក ឈុត,C-001,no_image.png
SC-1-008,ផ្លែកាត់បេតុង,C-001,no_image.png
SC-1-009,ផ្លែឆាបបេតុង,C-001,no_image.png
SC-1-010,ផ្លែស្វានបេតុង,C-001,no_image.png
SC-1-011,ផ្លែស្វានបុកបំបែក,C-001,no_image.png
SC-1-012,ផ្លែចោះបេតុង ស្លេប,C-001,no_image.png
SC-1-013,ផ្លែចោះពិដានម្នាងសិលា ,C-001,no_image.png
SC-1-014,ផ្លែកាត់ឈើ,C-001,no_image.png
SC-1-015,ផ្លែឆាបឈើ,C-001,no_image.png
SC-1-016,ផ្លែស្វានឈើ,C-001,no_image.png
SC-1-017,ផ្លែរណា,C-001,no_image.png
SC-1-018,ដែកគោលពុម្ព,C-001,no_image.png
SC-1-019,ដែកគោលបេតុង,C-001,no_image.png
SC-1-020,ដែកគោលបាញ់ឈើ,C-001,no_image.png
SC-1-021,ញញូរ,C-001,no_image.png
SC-1-022,ពូថៅ,C-001,no_image.png
SC-1-023,កាំបិត ផ្លែ,C-001,no_image.png
SC-1-024,បង្គី,C-001,no_image.png
SC-1-025,ចប - ប៉ែល,C-001,no_image.png
SC-1-026,ស្លាបព្រាកំបោរ ,C-001,no_image.png
SC-1-027,ខ្សែនីឡុង,C-001,no_image.png
SC-1-028,សំណាញ់រៀបឥដ្ឋ,C-001,no_image.png
SC-1-029,លួស និង​សំណាញ់,C-001,no_image.png
SC-1-030,ទុយោថ្លឹងទឹក,C-001,no_image.png
SC-1-031,ទុយោក្រឡាពស់,C-001,no_image.png
SC-1-032,ទុយោថ្លឹងខ្យល់,C-001,no_image.png
SC-1-033,ទុយោបូមទឹក,C-001,no_image.png
SC-1-034,ក្បាលបូមទឹក,C-001,no_image.png
SC-1-035,ខ្សែរបន្ទាត់,C-001,no_image.png
SC-1-036,កូនប្រយោល,C-001,no_image.png
SC-1-037,ដី ស,C-001,no_image.png
SC-1-038,កែវស្ទង់,C-001,no_image.png
SC-1-039,ស្រ្ពាយ ,C-001,no_image.png
SC-1-040,ថ្នាំច្រេះលាបដែក,C-001,no_image.png
SC-1-041,ក្តារទ្រ​ ក្តារបៀក,C-001,no_image.png
SC-1-042,ក្តារកុងផ្លាកេ,C-001,no_image.png
SC-1-043,ម្នាងសិលា,C-001,no_image.png
SC-1-044,ឆ្អឹងស៊ីឡាយ,C-001,no_image.png
SC-1-045,Sky Light,C-001,no_image.png
SC-1-046,ម៉ែត្រ ,C-001,no_image.png
SC-1-047,វ៉ែនតា ,C-001,no_image.png
SC-1-048,មូក ,C-001,no_image.png
SC-1-049,អាវ,C-001,no_image.png
SC-1-050,អាវភ្លៀង,C-001,no_image.png
SC-1-051,ឆ័ត្រ,C-001,no_image.png
SC-1-052,ស្រោមដៃ,C-001,no_image.png
SC-1-053,ម៉ាស,C-001,no_image.png
SC-1-054,ស្បែកជើង,C-001,no_image.png
SC-1-055,បំពង់ពន្លត់អគ្គីភ័យ,C-001,no_image.png
SC-1-056,ខ្សែរពូ ,C-001,no_image.png
SC-1-057,ខ្សែរកាប,C-001,no_image.png
SC-1-058,ខ្សែកាបក្រណាត់,C-001,no_image.png
SC-1-059,ខ្សែកាបមានក្បាល,C-001,no_image.png
SC-1-060,ខ្សែញាក់បេតុង,C-001,no_image.png
SC-1-061,ខ្សែពាន,C-001,no_image.png
SC-1-062,ក្រចាប់កាប,C-001,no_image.png
SC-1-063,មុន្នី,C-001,no_image.png
SC-1-064,តង់ដឺ,C-001,no_image.png
SC-1-065,កៅឡាក់,C-001,no_image.png
SC-1-066,សំណាញ់បៃតង,C-001,no_image.png
SC-1-067,តង់,C-001,no_image.png
SC-1-068,កៅស៊ូ ស,C-001,no_image.png
SC-1-069,អេប៉ុង,C-001,no_image.png
SC-1-070,ស្នោ,C-001,no_image.png
SC-1-071,ធូបផ្សា,C-001,no_image.png
SC-1-072,សាប៊ូ ,C-001,no_image.png
SC-1-073,សាំងក្រអូប,C-001,no_image.png
SC-1-074,អាចម៍ដែក,C-001,no_image.png
SC-1-075,បាវ,C-001,no_image.png
SC-1-076,អំបោស,C-001,no_image.png
SC-1-077,ប្រដាប់ចូកសំរាម,C-001,no_image.png
SC-1-078,ច្រាស់,C-001,no_image.png
SC-1-079,ថង់ខ្មៅ,C-001,no_image.png
SC-1-080,ធុងសំរាម,C-001,no_image.png
SC-1-081,ជក់,C-001,no_image.png
SC-1-082,រឡូលាបថ្នាំ,C-001,no_image.png
SC-1-083,ឥដ្ឋ,C-001,no_image.png
SC-1-084,ការ៉ូជញ្ជាំង,C-001,no_image.png
SC-1-085,ការ៉ូបាត,C-001,no_image.png
SC-1-086,ខ្សាច់,C-001,no_image.png
SC-1-087,ថ្ម,C-001,no_image.png
SC-1-088,ស៊ីម៉ង់ត៍,C-001,no_image.png
SC-1-089,បេតុង,C-001,no_image.png
SC-1-090,ម្សៅបៀក,C-001,no_image.png
SC-1-091,1160-1170,C-001,no_image.png
SC-1-092,ការ៉ូឡា,C-001,no_image.png
SC-1-093,លូ,C-001,no_image.png
SC-1-094,រ៉េហ្គែរ,C-001,no_image.png
SC-1-095,រទេអូស,C-001,no_image.png
SC-1-096,កង់អន្ទារ កង់រ៉ៃ,C-001,no_image.png
SC-1-097,សំបក ពោះវៀន,C-001,no_image.png
SC-1-098,ឈើ,C-001,no_image.png
SC-1-099,ខ្យល់ ហ្គាស,C-001,no_image.png
SC-1-100,តំណរទុយោ,C-001,no_image.png
SC-1-101,វ៉ានខ្យល់ ហ្គាស,C-001,no_image.png
SC-1-102,ក្បាលផ្សា,C-001,no_image.png
SC-1-103,កំបាំងផ្សា,C-001,no_image.png
SC-1-104,ខ្សែផ្សា,C-001,no_image.png
SC-1-105,ថ្មស្អុយ,C-001,no_image.png
SC-1-106,គូរីយេ,C-001,no_image.png
SC-1-107,ក្បាលវីសបាញ់,C-001,no_image.png
SC-1-108,វីស,C-001,no_image.png
SC-1-109,គ្រាប់មិន,C-001,no_image.png
SC-1-110,តាកេដែក-បេតុង,C-001,no_image.png
SC-1-111,តាកេដែក-ញី,C-001,no_image.png
SC-1-112,ប៊ូឡុង,C-001,no_image.png
SC-1-113,ប៊ូឡុងក្រែន,C-001,no_image.png
SC-1-114,ប៊ូឡុងអ៊ុយ,C-001,no_image.png
SC-1-115,ប៊ូឡុងកែង,C-001,no_image.png
SC-1-116,ដែករ៉ាត់,C-001,no_image.png
SC-1-117,កាវ,C-001,no_image.png
SC-1-118,ការពារជំរាបទឹក,C-001,no_image.png
SC-1-119,ដងបាញ់,C-001,no_image.png
SC-1-120,កន្ត្រៃ,C-001,no_image.png
SC-1-121,ស្គុត សថ្លា,C-001,no_image.png
SC-1-122,ស្គុត ពណ៏ស្ក,C-001,no_image.png
SC-1-123,ស្គុត ក្រណាត់,C-001,no_image.png
SC-1-124,ស្គុត មុខពីរ,C-001,no_image.png
SC-1-125,ក្រណាត់បិទពិដាន,C-001,no_image.png
SC-1-126,ក្រដាស់ខាត់,C-001,no_image.png
SC-1-127,ជញ្ជីង,C-001,no_image.png
SC-1-128,ទុល្វីស,C-001,no_image.png
SC-1-129,ដង្កាប់,C-001,no_image.png
SC-1-130,ដែកដាប់,C-001,no_image.png
SC-1-131,ម៉ាឡេត,C-001,no_image.png
SC-1-132,សោរខ្មៅ,C-001,no_image.png
SC-1-133,សោរខ្សៀ,C-001,no_image.png
SC-1-134,សោម៉ាត់ចិញ្ជៀន,C-001,no_image.png
SC-1-135,សោគ្រាប់,C-001,no_image.png
SC-1-136,សោតេ,C-001,no_image.png
SC-1-137,សោខ្វែង,C-001,no_image.png
SC-1-138,សោតាន់,C-001,no_image.png
SC-1-139,ប៊ិច,C-001,no_image.png
SC-1-140,ហ្វឺត,C-001,no_image.png
SC-1-141,ក្រដាស,C-001,no_image.png
SC-1-142,ទឹកថ្នាំម៉ាស៊ីនព្រីន,C-001,no_image.png
SC-1-143,មេកឹប,C-001,no_image.png
SC-1-144,សឺមី,C-001,no_image.png
SC-1-145,ស្រោមសំបុត្រ,C-001,no_image.png
SC-1-146,ក្រដាសចំណាំ,C-001,no_image.png
SC-1-147,ត្រេ,C-001,no_image.png
SC-1-148,ក្រូណូ,C-001,no_image.png
SC-1-149,សៀវភៅស្នើសំភារ:,C-001,no_image.png
SC-1-150,ម៉ស៊ីនវាយបុង,C-001,no_image.png
SC-1-151,ត្រាទទួល,C-001,no_image.png
SC-1-152,វិទ្យុទាក់ទង,C-001,no_image.png
SC-2-001,ខ្សែភ្លើងក្រហម,C-002,no_image.png
SC-2-002,ខ្សែភ្លើងខ្មៅ,C-002,no_image.png
SC-2-003,ខ្សែភ្លើងខៀវ,C-002,no_image.png
SC-2-004,ខ្សែភ្លើងបៃតង,C-002,no_image.png
SC-2-005,ខ្សែរភ្លើងលឿង,C-002,no_image.png
SC-2-006,ខ្សែរភ្លើងទន់ ,C-002,no_image.png
SC-2-007,ខ្សែរភ្លើង ស្ពាន់ ,C-002,no_image.png
SC-2-008,ខ្សែរេភ្លើងទែរ,C-002,no_image.png
SC-2-009,ខ្សែរភ្លើងស្ពាន់ 2,C-002,no_image.png
SC-2-010,ខ្សែរភ្លើងAL 2,C-002,no_image.png
SC-2-011,ខ្សែរភ្លើងស្ពាន់ 3,C-002,no_image.png
SC-2-012,ខ្សែរភ្លើងAL  3,C-002,no_image.png
SC-2-013,ខ្សែរភ្លើងAL 4,C-002,no_image.png
SC-2-014,ខ្សែរភ្លើង 5,C-002,no_image.png
SC-2-015,ខ្សែរភ្លើង 7,C-002,no_image.png
SC-2-016,ខ្សែរភ្លើង 10,C-002,no_image.png
SC-2-017,ឌីសង់ទ័រ 1P,C-002,no_image.png
SC-2-018,ឌីសង់ទ័រ 2P,C-002,no_image.png
SC-2-019,ឌីសង់ទ័រ 3P,C-002,no_image.png
SC-2-020,ឌីសង់ទ័រ 4P,C-002,no_image.png
SC-2-021,គុងតាក់ទ័រ,C-002,no_image.png
SC-2-022,ទុយោភ្លើង,C-002,no_image.png
SC-2-023,ហ្គែនរួញ,C-002,no_image.png
SC-2-024,ក្រចាប់ទុយោភ្លើង,C-002,no_image.png
SC-2-025,កែង,C-002,no_image.png
SC-2-026,តេ,C-002,no_image.png
SC-2-027,សុង,C-002,no_image.png
SC-2-028,សុងកមូល,C-002,no_image.png
SC-2-029,សុងកូន,C-002,no_image.png
SC-2-030,ខ្នែងបំបែក,C-002,no_image.png
SC-2-031,បតចែកខ្សែភ្លើង,C-002,no_image.png
SC-2-032,ប្រអប់បំបែកជ័រ,C-002,no_image.png
SC-2-033,ប្រអប់រត់ខ្សែភ្លើង,C-002,no_image.png
