Code,Name,Parent Category Code,Image name
SC-1-001,ផ្លែកាត់ដែក,C-001,no_image.png
SC-1-002,ផ្លែកាំបិទកាត់ដែក,C-001,no_image.png
SC-1-003,ផ្លែតារ៉ូដែក,C-001,no_image.png
SC-1-004,ផ្លែឆាបដែក,C-001,no_image.png
SC-1-005,ផ្លែច្រាស់ឆាបដែក,C-001,no_image.png
SC-1-006,ផ្លែស្វានដែក,C-001,no_image.png
SC-1-007,ផ្លែស្វានដែក ឈុត,C-001,no_image.png
SC-1-008,ផ្លែកាត់បេតុង,C-001,no_image.png
SC-1-009,ផ្លែឆាបបេតុង,C-001,no_image.png
SC-1-010,ផ្លែស្វានបេតុង,C-001,no_image.png
SC-2-001,ខ្សែភ្លើងក្រហម,C-002,no_image.png
SC-2-002,ខ្សែភ្លើងខ្មៅ,C-002,no_image.png
SC-2-003,ខ្សែភ្លើងខៀវ,C-002,no_image.png
SC-2-004,ខ្សែភ្លើងបៃតង,C-002,no_image.png
SC-2-005,ខ្សែរភ្លើងលឿង,C-002,no_image.png
SC-2-006,ខ្សែរភ្លើងទន់ ,C-002,no_image.png
SC-2-007,ខ្សែរភ្លើង ស្ពាន់ ,C-002,no_image.png
SC-2-008,ខ្សែរេភ្លើងទែរ,C-002,no_image.png
SC-2-009,ខ្សែរភ្លើងស្ពាន់ 2,C-002,no_image.png
SC-2-010,ខ្សែរភ្លើងAL 2,C-002,no_image.png
SC-2-011,ខ្សែរភ្លើងស្ពាន់ 3,C-002,no_image.png
SC-2-012,ខ្សែរភ្លើងAL  3,C-002,no_image.png
SC-2-013,ខ្សែរភ្លើងAL 4,C-002,no_image.png
SC-2-014,ខ្សែរភ្លើង 5,C-002,no_image.png
SC-2-015,ខ្សែរភ្លើង 7,C-002,no_image.png
SC-2-016,ខ្សែរភ្លើង 10,C-002,no_image.png
SC-2-017,ឌីសង់ទ័រ 1P,C-002,no_image.png
SC-2-018,ឌីសង់ទ័រ 2P,C-002,no_image.png
SC-2-019,ឌីសង់ទ័រ 3P,C-002,no_image.png
SC-3-001,ទុយោ 13.5,C-003,no_image.png
SC-3-002,ទុយោ 8.5,C-003,no_image.png
SC-3-003,ទុយោ 5.5,C-003,no_image.png
SC-3-004,កែង 13.5,C-003,no_image.png
SC-3-005,កែង 8.5,C-003,no_image.png
SC-3-006,កែង ធ្មេញក្នុង PVC,C-003,no_image.png
SC-3-007,កែង ធ្មេញក្រៅ PVC,C-003,no_image.png
SC-3-008,កែង PVCធ្មេញក្នុងស្ពាន់,C-003,no_image.png
SC-3-009,កែងPVC ធ្មេញក្រៅស្ពាន់,C-003,no_image.png
SC-3-010,ដឺមី 13.5,C-003,no_image.png
SC-3-011,ដឺមី 8.5,C-003,no_image.png
SC-3-012,តេ 13.5,C-003,no_image.png
SC-3-013,តេ 8.5,C-003,no_image.png
SC-3-014,តេកូន 13.5,C-003,no_image.png
SC-3-015,តេកូន 8.5,C-003,no_image.png
SC-3-016,សុង 13.5,C-003,no_image.png
SC-3-017,សុង 8.5,C-003,no_image.png
SC-3-018,សុងកូន 13.5,C-003,no_image.png
SC-3-019,សុងកូន 8.5,C-003,no_image.png
SC-3-020,សុងធ្មេញក្នុង PVC ,C-003,no_image.png
SC-3-021,សុងPVCធ្មេញក្នុងស្ពាន់ ,C-003,no_image.png
SC-3-022,សុងធ្មេញក្រៅ PVC ,C-003,no_image.png
SC-3-023,សុងPVCធ្មេញក្រៅស្ពាន់ ,C-003,no_image.png
SC-3-024,ម៉ាប៊ូឡុង,C-003,no_image.png
SC-3-025,កែងស្ពាន់,C-003,no_image.png
SC-3-026,វ៉ាយ Y 8.5,C-003,no_image.png
SC-3-027,វ៉ាយកូន Y 8.5,C-003,no_image.png
SC-3-028,តេវ៉ាយ Y 8.5,C-003,no_image.png
SC-3-029,តេវ៉ាយកូន Y 8.5,C-003,no_image.png
SC-3-030,តេវ៉ាយមុខ4 Y 8.5,C-003,no_image.png
SC-3-031,តេវ៉ាយកូនមុខ4 Y 8.5,C-003,no_image.png
SC-3-032,ឆ្នុក ធ្មេញ,C-003,no_image.png
SC-3-033,ឆ្នុក ,C-003,no_image.png
SC-3-034,S កក្រែន,C-003,no_image.png
SC-3-035,គំរប PVC Clean Out,C-003,no_image.png
SC-3-036,គំរប ស្ពាន់ Clean ,C-003,no_image.png
SC-3-037,វ៉ានជ័រ PVC,C-003,no_image.png
SC-3-038,វ៉ាន ដែក,C-003,no_image.png
SC-3-039,ព្រីត PVC,C-003,no_image.png
SC-3-040,រ៉ងព្រីត,C-003,no_image.png
SC-3-041,វ៉ានស្ពាន់ មូល,C-003,no_image.png
SC-3-042,វ៉ានស្ពាន់ កាច់,C-003,no_image.png
SC-3-043,ក្លាបប៉េ ទប់ទឹក ឈរ,C-003,no_image.png
SC-3-044,ក្លាបប៉េ ទប់ទឹក ដេក,C-003,no_image.png
SC-3-045,ក្លាបប៉េ  ដែក,C-003,no_image.png
SC-3-046,ក្រពីនស្ពាន់,C-003,no_image.png
SC-3-047,ក្រពីន ដែក,C-003,no_image.png
SC-3-048,អ៊ីការិច ស្ពាន់,C-003,no_image.png
SC-3-049,អ៊ីការិច ស្ពាន់,C-003,no_image.png
SC-3-050,កុងទ័រទឹក,C-003,no_image.png
SC-3-051,ស៊ីហ្វុងជ័រ,C-003,no_image.png
SC-3-052,ស៊ីហ្វុងអ៊ីណុក,C-003,no_image.png
SC-3-053,ស៊ីហ្វុង ដែក,C-003,no_image.png
SC-3-054,ពោងជ័រ ទប់ទឹក ,C-003,no_image.png
SC-3-055,ពោងអ៊ីណុក ទប់ទឹក ,C-003,no_image.png
SC-3-056,ក្បាលរ៉ូមីណេ,C-003,no_image.png
SC-3-057,ប្រអប់ដាក់ក្រដាស,C-003,no_image.png
SC-3-058,ខ្សែអន,C-003,no_image.png
SC-3-059,ខ្សែឡាបូល,C-003,no_image.png
SC-3-060,ខ្សែអនាម័យ,C-003,no_image.png
SC-3-061,ផ្ការឈួក,C-003,no_image.png
SC-3-062,កាវលាបទុយោ PVC,C-003,no_image.png
SC-3-063,បង់រុំ/ ស្គុតទឹក,C-003,no_image.png
SC-3-064,កន្ត្រៃកាត់ទុយោ PVC,C-003,no_image.png
SC-3-065,ក្រចាប់ជាប់ជញ្ជាំងជ័រ,C-003,no_image.png
SC-3-066,ក្រចាប់ជាប់ជញ្ជាំងដែក,C-003,no_image.png
SC-3-067,ក្រចាប់ព្យូរ ដែក,C-003,no_image.png
SC-3-068,បង្គន់,C-003,no_image.png
SC-3-069,ឡាបូល,C-003,no_image.png
SC-3-070,បាញ់ញ័រ,C-003,no_image.png
SC-3-071,ធុងទឹកជ័រ,C-003,no_image.png
SC-3-072,ធុងទឹកអ៊ីណុក,C-003,no_image.png
SC-3-073,ធុងស្តុកលាមក,C-003,no_image.png
SC-3-074,ទុយោ PP-R,C-003,no_image.png
SC-3-075,កែង PP-R,C-003,no_image.png
SC-3-076,កែងធ្មេញក្នុង PP-R,C-003,no_image.png
SC-3-077,កែងធ្មេញក្រៅ PP-R ,C-003,no_image.png
SC-3-078,ដឺមី PP-R,C-003,no_image.png
SC-3-079,សុង PP-R,C-003,no_image.png
SC-3-080,សុងកូន PP-R,C-003,no_image.png
SC-3-081,សុងធ្មេញក្នុង PP-R,C-003,no_image.png
SC-3-082,សុងធ្មេញក្រៅ PP-R,C-003,no_image.png
SC-3-083,តេ PP-R,C-003,no_image.png
SC-3-084,តេកូន PP-R,C-003,no_image.png
SC-3-085,តេធ្មេញក្នុង PP-R,C-003,no_image.png
SC-3-086,តេធ្មេញក្រៅ PP-R,C-003,no_image.png
SC-3-087,ឆ្នុក PP-R,C-003,no_image.png
SC-3-088,ឆ្នុកធ្មេញក្នុង PP-R,C-003,no_image.png
SC-3-089,ឆ្នុកធ្មេញក្រៅ PP-R,C-003,no_image.png
SC-3-090,រ៉ាក់គ័រ PP-R,C-003,no_image.png
SC-3-091,រ៉ាក់គ័រធ្មេញក្នុង PP-R,C-003,no_image.png
SC-3-092,រ៉ាក់គ័រធ្មេញក្រៅ PP-R,C-003,no_image.png
SC-3-093,វ៉ានមូល PP-R,C-003,no_image.png
SC-3-094,វ៉ានមូល ដែក,C-003,no_image.png
SC-3-095,ព្រីត PP-R,C-003,no_image.png
SC-3-096,ព្រីត ដែក,C-003,no_image.png
SC-3-097,រ៉ងកៅស៊ូព្រីត ដែក,C-003,no_image.png
SC-3-098,កន្ត្រៃកាត់ទុយោ PP-R,C-003,no_image.png
SC-3-099,ម៉ាស៊ីនអ៊ុតទុយោ PP-R ,C-003,no_image.png
SC-4-001,ដែកថ្នាំងអំពៅ SD390,C-004,no_image.png
SC-4-002,ដែកថ្នាំងអំពៅ SD 460,C-004,no_image.png
SC-4-003,ដែកថ្នាំងអំពៅ SD 490,C-004,no_image.png
SC-4-004,ដែកសសៃលាត,C-004,no_image.png
SC-4-005,ដែក កង,C-004,no_image.png
SC-4-006,ដែកលួសចំណង,C-004,no_image.png
SC-4-007,ក្រចាប់,C-004,no_image.png
SC-4-008,ជើងសារ៉េ,C-004,no_image.png
SC-4-009,សុងតដែក ,C-004,no_image.png
SC-4-010,រន្ទារ,C-004,no_image.png
SC-4-011,ខ្វែងរន្ទារ,C-004,no_image.png
SC-4-012,ដែកទីបមូល ខ្មៅ,C-004,no_image.png
SC-4-013,ដែកទីបមូល ស,C-004,no_image.png
SC-4-014,ដែកទីបជ្រុង ខ្មៅ,C-004,no_image.png
SC-4-015,ដែកទីបជ្រុង ស,C-004,no_image.png
SC-4-016,ដែក រនាប,C-004,no_image.png
SC-4-017,ដែក វ៉េ,C-004,no_image.png
SC-4-018,ដែក អ៊ុយ,C-004,no_image.png
SC-4-019,ដែកសេ ខ្មៅ,C-004,no_image.png
SC-4-020,ដែកសេ   ស,C-004,no_image.png
SC-4-021,ដែកហាស់ H,C-004,no_image.png
SC-4-022,ដែកអ៊ី I,C-004,no_image.png
SC-4-023,ដែកសន្លឹក លាត,C-004,no_image.png
SC-4-024,ដែកសន្លឹក ផ្កា,C-004,no_image.png
SC-4-025,ស័ង្កសី,C-004,no_image.png
SC-4-026,កាបទ្ររស្លេប ,C-004,no_image.png
SC-4-027,បំពង់កាប,C-004,no_image.png
SC-4-028,សុងតកាប,C-004,no_image.png
SC-4-029,ក្បាលកាប,C-004,no_image.png
SC-4-030,រន្ធក្បាលកាប,C-004,no_image.png
SC-4-031,ឃ្នៀបក្បាលកាប,C-004,no_image.png
SC-4-032,ច្រកក្បាលកាប,C-004,no_image.png
SC-4-033,ស្នោកាប,C-004,no_image.png
SC-4-034,ខ្លាញ់កាប,C-004,no_image.png
SC-5-001,ដែកបាញ់ឆែរ,C-004,no_image.png
SC-5-002,ម៉ូទ័រកាត់ដែក,C-005,no_image.png
SC-5-003,ម៉ូទ័រកាត់ឈើ,C-005,no_image.png
SC-5-004,ម៉ូទ័រញាក់,C-005,no_image.png
SC-5-005,ម៉ូទ័រស្វាន,C-005,no_image.png
SC-5-006,ម៉ូទ័រខ្យល់,C-005,no_image.png
SC-5-007,ម៉ូទ័រពត់ដែក,C-005,no_image.png
